id,type,location,area,bedroom,bathroom,garage,condominium,price,latitude,longitude
2538898153,Casa,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",120,3,2,2,,R$ 300.000,-22.632778,-45.548337
2538895696,Fazenda/Sítio/Chácara,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",3049200,,,,,R$ 1.890.000,-22.632778,-45.548337
2538869515,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",0,,,,,R$ 150.000,-22.632778,-45.548337
2538338386,Apartamento,"Rua Dona Joaquina Dias, 201 - Avenida, Itajubá - MG",73,2,1,1,,R$ 451.472,-22.430501,-45.460741
2532150118,Maria,"Rua Santo Agostinho, 133 - Vila Antonio Augusto Luiz, Caçapava - SP",63,2-3,2-4,1-2,,R$ 249.900,-27.659999,-52.261719
2523039416,Lote/Terreno,"Avenida José de Souza Nogueira - Santa Rosa, Itajubá - MG",602,,,,,R$ 176.214,-22.423382,-45.455883
2527480637,Apartamento,"Rua Francisco Moreira Renó, 226 - Rebourgeon, Itajubá - MG",169,3,3,,,R$ 183.189,-19.813912,-43.894281
2538012344,Lote/Terreno,"Nossa Senhora de Fatima, Itajubá - MG",386,,,,,R$ 138.351,-22.423382,-45.455883
2532863041,Fazenda/Sítio/Chácara,"Centro, Itajubá - MG",248,4,2,3,,R$ 745.000,-22.632778,-45.548337
2538900875,Lote/Terreno,"Rua Doutor Pereira Cabral, 165 - Centro, Itajubá - MG",1540,,,,,R$ 120.000,-22.632778,-45.548337
95335780,Apartamento,"Rua Doutor João de Azevedo, 300 - Centro, Itajubá - MG",1200,20,20,8,R$ 1,R$ 1.600.000,-22.632778,-45.548337
2501844019,Parque,"Estrada Municipal Nelson Tavares da Silva - Bom Retiro, São José dos Campos - SP",38-53,2,1,1,,R$ 162.690,-23.236577,-45.859225
2534132972,Apartamento,"Rua Doutor Xavier Lisboa, 114 - Varginha, Itajubá - MG",151,4,1,1,,R$ 850.000,-22.13333,-45.53333
2529800801,Casa,"Rua Dona Lucinda Carneiro, 418 - Morro Chic, Itajubá - MG",512,4,1,4,,R$ 818.589,-22.4205,-45.458418
2529803480,Lote/Terreno,"Avenida José de Souza Nogueira - Santa Rosa, Itajubá - MG",602,,1,,,R$ 177.099,-22.423382,-45.455883
2527669887,Lote/Terreno,"Rodovia Itajubá-Lorena, S/N - Morro Grande, Itajubá - MG",35,,,,,R$ 6.000.000,-22.423382,-45.455883
2527278095,Apartamento,"Rua Francisco Moreira Renó, 226 - Rebourgeon, Itajubá - MG",168,3,1,,,R$ 184.110,-19.813912,-43.894281
2529805360,Lote/Terreno,"Santa Rosa, Itajubá - MG",602,1,1,,,R$ 177.099,-22.423382,-45.455883
2516347939,Portal,"Avenida Manoel Augusto da Silva, 615 - Ind JK, Varginha - MG",48,2,1,,,,-21.584878,-45.452683
2517389915,Casa,"Rua Professora Zilpa Veloso Emídio - Santo Antonio, Itajubá - MG",210,2,3,2,,R$ 350.000,-22.423382,-45.455883
2527865176,Apartamento,"Rebourgeon, Itajubá - MG",168,3,1,,,R$ 184.110,-22.423382,-45.455883
2529807473,Casa,"Morro Chic, Itajubá - MG",512,4,1,4,,R$ 818.589,-22.423382,-45.455883
1086755473,Galpão/Depósito/Armazém,"Avenida Padre Lourenço - Centro, Itajubá - MG",14748,,,,,R$ 11.430.000,-22.423382,-45.455883
2530740640,Casa,"Medicina, Itajubá - MG",200,2,1,1,,R$ 300.000,-22.423382,-45.455883
2500756407,Casa,"Santa Rita de Cássia, Itajubá - MG",180,3,2,2,,R$ 390.000,-22.436562,-45.43989
2493437586,ATTUALE,"Rua República de Israel, 120 - Jardim Oswaldo Cruz, São José dos Campos - SP",56-73,2-3,2,1-2,,R$ 373.000,-23.236577,-45.859225
2527916212,Apartamento,"Varginha, Itajubá - MG",67,2,2,1,R$ 360,R$ 280.000,-22.13333,-45.53333
2504319099,Lote/Terreno,"Santa Rosa, Itajubá - MG",200,,,,,R$ 130.000,-22.423382,-45.455883
2527916210,Apartamento,"Varginha, Itajubá - MG",82,2,1,1,,R$ 380.000,-22.13333,-45.53333
2504163306,Apartamento,"Morro Chic, Itajubá - MG",72,2,1,1,R$ 300,R$ 370.000,-22.423382,-45.455883
1041553968,Prédio/Edificio,"Rua Florival Xavier, 100 - Centro, Itajubá - MG",718,6,6,,,R$ 4.000.000,-22.632778,-45.548337
2528460274,Fazenda/Sítio/Chácara,"Oriente, Itajubá - MG",3680,3,1,5,,R$ 530.000,-22.423382,-45.455883
2493439258,Residencial,"Avenida Resedás, 201 - Loteamento Terra Brasilis, São José dos Campos - SP",48,2,1,1,,R$ 190.000,-23.246133,-45.823613
2527915122,Casa,"Medicina, Itajubá - MG",65,2,1,1,,R$ 250.000,-22.423382,-45.455883
2451606337,Fazenda/Sítio/Chácara,"Novo Horizonte, Itajubá - MG",250,5,2,,,R$ 1.600.000,-22.423382,-45.455883
2531008014,Apartamento,"Rua Francisco Moreira Renó, 226 - Rebourgeon, Itajubá - MG",169,3,3,,,R$ 183.189,-19.813912,-43.894281
2523047526,Lote/Terreno,"Avenida José de Souza Nogueira - Santa Rosa, Itajubá - MG",602,,,,,R$ 185.070,-22.423382,-45.455883
2530441573,Casa,"Rua Professora Dionésia Maria Lopes, 28 - Morro Chic, Itajubá - MG",270,4,3,4,,R$ 950.000,-22.417314,-45.460005
2515101280,Apartamento,"Porto Velho, Itajubá - MG",67,2,1,1,R$ 300,R$ 300.000,-22.423382,-45.455883
2531811611,Bosque,"Rua Karina Gomes Faria, 50 - Urbanova I, São José dos Campos - SP",110-135,2-3,2,2,,,-23.211394,-45.971207
2513570320,HM,Avenida Antônio Saes Peres - Extrema - MG,49,2,1,1,,R$ 193.010,-22.84136,-46.313236
2522890538,LIKE,"Rua das Chácaras, 195 - Jardim Oriente, São José dos Campos - SP",50-51,2,2,1,,,-23.242898,-45.893849
2517265299,Reserva,"Avenida Basiléia, 590 - Liberdade, Resende - RJ",41-46,2,1,1,,R$ 159.690,-22.469387,-44.468421
2531351169,Campo,"Avenida Nicanor Reis, 1520 - Jardim Torrao De Ouro, São José dos Campos - SP",35-42,1-2,1,1,,R$ 179.490,-23.265058,-45.86589
2529294277,Casa,"Rua Coronel Saturnino de Barros Cobra, 116 - Saudade Bom Jesus, Pouso Alegre - MG",330,6,4,1,,R$ 900.000,-22.223582,-45.934907
2516347774,Portal,"Avenida Sebastião de Paula, 500 - São João, Pouso Alegre - MG",51,2,1,,,,-22.223582,-45.934907
2506961275,Fazenda/Sítio/Chácara,"Avenida Isolina Parenti Nogueira, 1 - Jardim Caicara, Pouso Alegre - MG",527,4,2,6,,R$ 2.490.000,-31.360561,-51.971194
2416555479,Casa,"Rua Joel Alves Pires - Jardim Floresta, Pouso Alegre - MG",178,3,1,5,,R$ 530.000,-22.223582,-45.934907
2520385409,Lote/Terreno,"Rua Bom Jesus, Sem Numero - Solar dos Quitas, Pouso Alegre - MG",36337,,,,,R$ 3.600.000,-22.223582,-45.934907
2533909088,Casa,"Rua Francisca Nadir Rios Vieira, 200 - Parque Real, Pouso Alegre - MG",80,3,2,1,,R$ 300.000,-22.223582,-45.934907
2490832894,Apartamento,"Rua Wenceslau Pereira Valim, 235 - Medicina, Pouso Alegre - MG",105,3,4,4,R$ 500,R$ 699.000,-22.223582,-45.934907
2527855719,Apartamento,"Avenida São Francisco, 180 - Jardim Esplanada, Pouso Alegre - MG",140,3,3,2,R$ 650,R$ 1.060.000,-22.223582,-45.934907
2493439308,Condessa,"Rua José Machado, 127 - Fonte Simao, Campos do Jordão - SP",87,3,2,1,,R$ 800.000,13.910719,100.58795
2534645582,Apartamento,"Rua Adriano de Freitas Cardoso, 186 - Fatima III, Pouso Alegre - MG",60,2,2,1,R$ 180,R$ 255.000,-22.216794,-45.919116
2534657801,Apartamento,"Rua Antônio Lemes da Silva, 980 - Fatima, Pouso Alegre - MG",60,2,2,1,R$ 110,R$ 175.000,-22.223582,-45.934907
2537753631,Casa,"Rua Euclides Nunes de Oliveira, 154 - Pousada dos Campos, Pouso Alegre - MG",340,4,5,4,,R$ 1.800.000,-22.223582,-45.934907
2537755008,Apartamento,"Praça Doutor Alcídes Mosconi, 3 - Nova Pouso Alegre, Pouso Alegre - MG",73,3,2,,,R$ 537.140,-22.223582,-45.934907
2537755377,Casa,"Avenida Joaquim Augusto Moreira Queiroz - São Carlos, Pouso Alegre - MG",150,3,4,1,,R$ 650.000,-22.223582,-45.934907
2534655269,Apartamento,"Rua Adriano de Freitas Cardoso, 186 - Fatima III, Pouso Alegre - MG",130,2,2,2,R$ 180,R$ 680.000,-22.216794,-45.919116
2513570320,HM,Avenida Antônio Saes Peres - Extrema - MG,49,2,1,1,,R$ 193.010,-22.84136,-46.313236
