type,area,bedroom,bathroom,garage,latitude,longitude,bathroom_per_bedroom,price
Casa,330.0,3.0,5.0,6.0,-21.808695999999998,-46.576769,1.6666666666666667,1950000.0
Apartamento,60.0,2.0,1.0,2.0,-28.453917999999998,-48.945153000000005,0.5,240000.0
Casa,150.0,3.0,2.0,3.0,-16.652012,-46.268840999999995,0.6666666666666666,360000.0
Casa,317.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,830000.0
Apartamento,77.0,2.0,2.0,3.0,-21.795123,-46.561417999999996,1.0,540000.0
Apartamento,46.0,2.0,1.0,1.0,-21.787361999999998,-46.587752,0.5,249000.0
Casa,79.0,2.0,1.0,,-22.118814999999998,-46.683995,0.5,210000.0
Apartamento,54.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,150000.0
Apartamento,50.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,160000.0
Casa,90.0,2.0,1.0,2.0,-21.808695999999998,-46.576769,0.5,395000.0
Apartamento,240.0,4.0,5.0,2.0,-21.808695999999998,-46.576769,1.25,1500000.0
Apartamento,127.0,3.0,2.0,2.0,-23.014179000000002,-45.574445000000004,0.6666666666666666,380000.0
Apartamento,53.0,2.0,1.0,1.0,38.763782,-9.096756,0.5,140000.0
Apartamento,55.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,320000.0
Casa,140.0,3.0,3.0,3.0,-22.118814999999998,-46.683995,1.0,660000.0
Casa,200.0,3.0,1.0,2.0,-23.519116,-46.406946999999995,0.3333333333333333,400000.0
Casa,300.0,4.0,1.0,2.0,-22.118814999999998,-46.683995,0.25,1500000.0
Casa,65.0,2.0,1.0,2.0,-21.808695999999998,-46.576769,0.5,315000.0
Casa,230.0,3.0,2.0,2.0,-21.808695999999998,-46.576769,0.6666666666666666,1200000.0
Apartamento,60.0,1.0,2.0,1.0,-23.519116,-46.406946999999995,2.0,850.0
Casa,70.0,2.0,1.0,2.0,-22.131971,-46.312564,0.5,215000.0
Apartamento,54.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,180000.0
Apartamento,52.0,2.0,1.0,1.0,-21.791,-46.588941,0.5,160000.0
Casa,350.0,3.0,1.0,3.0,-21.777785,-46.619565,0.3333333333333333,700000.0
Apartamento,70.0,2.0,1.0,1.0,-23.519116,-46.406946999999995,0.5,280000.0
Apartamento,84.0,2.0,3.0,1.0,-21.808695999999998,-46.576769,1.5,430000.0
Apartamento,61.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,300000.0
Casa,85.0,2.0,2.0,,-21.808695999999998,-46.576769,1.0,395000.0
Casa,127.0,3.0,1.0,2.0,-28.453917999999998,-48.945153000000005,0.3333333333333333,640000.0
Casa,138.0,3.0,3.0,2.0,-21.808695999999998,-46.576769,1.0,530000.0
Apartamento,61.0,2.0,2.0,1.0,-21.808695999999998,-46.576769,1.0,320000.0
Casa,226.0,3.0,4.0,5.0,-21.798914,-46.577517,1.3333333333333333,800000.0
Apartamento,42.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,150000.0
Casa,230.0,3.0,4.0,5.0,-22.118814999999998,-46.683995,1.3333333333333333,999000.0
Apartamento,80.0,2.0,2.0,2.0,-21.808695999999998,-46.576769,1.0,800.0
Casa,120.0,3.0,3.0,2.0,-21.808695999999998,-46.576769,1.0,310000.0
Apartamento,115.0,3.0,2.0,3.0,-21.808695999999998,-46.576769,0.6666666666666666,890000.0
Apartamento,64.0,2.0,1.0,1.0,-19.664278,-43.862644,0.5,360000.0
Apartamento,65.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,190000.0
Apartamento,90.0,3.0,1.0,2.0,-22.118814999999998,-46.683995,0.3333333333333333,430000.0
Casa,210.0,3.0,3.0,2.0,-21.778408,-46.613806,1.0,1200000.0
Apartamento,70.0,2.0,1.0,1.0,-21.808695999999998,-46.576769,0.5,165000.0
Casa,139.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,600000.0
Casa,62.0,2.0,1.0,1.0,-22.118814999999998,-46.683995,0.5,225000.0
Casa,121.0,3.0,2.0,2.0,-22.925189000000003,-47.110363,0.6666666666666666,550000.0
Casa,140.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,480000.0
Casa,90.0,2.0,1.0,2.0,-21.808695999999998,-46.576769,0.5,350000.0
Apartamento,58.0,2.0,2.0,1.0,-22.995627,-43.257154,1.0,270000.0
Apartamento,180.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,1000000.0
Casa,408.0,5.0,3.0,,-21.808695999999998,-46.576769,0.6,1600000.0
Casa,122.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,420000.0
Apartamento,83.0,3.0,2.0,2.0,-23.519116,-46.406946999999995,0.6666666666666666,400000.0
Casa,338.0,3.0,3.0,3.0,-21.775901,-46.61222,1.0,850000.0
Casa,75.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,220000.0
Apartamento,50.0,2.0,1.0,1.0,-23.519116,-46.406946999999995,0.5,190000.0
Apartamento,70.0,2.0,1.0,2.0,-21.777785,-46.619565,0.5,270000.0
Apartamento,83.0,3.0,1.0,,-23.014179000000002,-45.574445000000004,0.3333333333333333,280000.0
Apartamento,101.0,3.0,1.0,1.0,-21.808695999999998,-46.576769,0.3333333333333333,495000.0
Casa,180.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,590000.0
Apartamento,55.0,2.0,1.0,,-21.791323000000002,-46.566024,0.5,220000.0
Casa,384.0,4.0,6.0,,-21.808695999999998,-46.576769,1.5,2500000.0
Apartamento,91.0,3.0,3.0,2.0,-21.795123,-46.561417999999996,1.0,570000.0
Casa,218.0,4.0,3.0,2.0,-21.791,-46.588941,0.75,1100000.0
Apartamento,94.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,380000.0
Apartamento,128.0,3.0,3.0,1.0,-21.808695999999998,-46.576769,1.0,890000.0
Casa,95.0,2.0,1.0,2.0,-17.722077,-48.626609,0.5,410000.0
Apartamento,65.0,2.0,2.0,1.0,-22.118814999999998,-46.683995,1.0,340000.0
Casa,97.0,3.0,2.0,1.0,-21.808695999999998,-46.576769,0.6666666666666666,315000.0
Apartamento,90.0,3.0,3.0,,-21.795123,-46.561417999999996,1.0,520000.0
Apartamento,180.0,3.0,1.0,2.0,-21.808695999999998,-46.576769,0.3333333333333333,950000.0
